"individual" "replicate" "well" "batch" "sample_id"
"541" "NA19239" "r3" "F03" "NA19239.r3" "NA19239.r3.F03"
"542" "NA19239" "r3" "F04" "NA19239.r3" "NA19239.r3.F04"
"543" "NA19239" "r3" "F05" "NA19239.r3" "NA19239.r3.F05"
"544" "NA19239" "r3" "F06" "NA19239.r3" "NA19239.r3.F06"
"545" "NA19239" "r3" "F07" "NA19239.r3" "NA19239.r3.F07"
"546" "NA19239" "r3" "F08" "NA19239.r3" "NA19239.r3.F08"
"547" "NA19239" "r3" "F09" "NA19239.r3" "NA19239.r3.F09"
"548" "NA19239" "r3" "F10" "NA19239.r3" "NA19239.r3.F10"
"549" "NA19239" "r3" "F11" "NA19239.r3" "NA19239.r3.F11"
"550" "NA19239" "r3" "F12" "NA19239.r3" "NA19239.r3.F12"
"551" "NA19239" "r3" "G03" "NA19239.r3" "NA19239.r3.G03"
"552" "NA19239" "r3" "G05" "NA19239.r3" "NA19239.r3.G05"
"553" "NA19239" "r3" "G06" "NA19239.r3" "NA19239.r3.G06"
"554" "NA19239" "r3" "G07" "NA19239.r3" "NA19239.r3.G07"
"555" "NA19239" "r3" "G08" "NA19239.r3" "NA19239.r3.G08"
"556" "NA19239" "r3" "G09" "NA19239.r3" "NA19239.r3.G09"
"557" "NA19239" "r3" "G11" "NA19239.r3" "NA19239.r3.G11"
"558" "NA19239" "r3" "G12" "NA19239.r3" "NA19239.r3.G12"
"559" "NA19239" "r3" "H01" "NA19239.r3" "NA19239.r3.H01"
"560" "NA19239" "r3" "H03" "NA19239.r3" "NA19239.r3.H03"
"561" "NA19239" "r3" "H04" "NA19239.r3" "NA19239.r3.H04"
"562" "NA19239" "r3" "H05" "NA19239.r3" "NA19239.r3.H05"
"563" "NA19239" "r3" "H06" "NA19239.r3" "NA19239.r3.H06"
"564" "NA19239" "r3" "H07" "NA19239.r3" "NA19239.r3.H07"
"565" "NA19239" "r3" "H08" "NA19239.r3" "NA19239.r3.H08"
"566" "NA19239" "r3" "H09" "NA19239.r3" "NA19239.r3.H09"
"567" "NA19239" "r3" "H11" "NA19239.r3" "NA19239.r3.H11"
"568" "NA19239" "r3" "H12" "NA19239.r3" "NA19239.r3.H12"
